Hospital Address,Hospital City,Hospital State,Won/Lost/Exisiting,Hospital Type,Total Births,Exclusive BF%,Exclusive FF%,Exclusive Supplement,Net Preterm
"ADVENTIST HEALTH TEHACHAPI VLY, 1100 MAGELLAN DRIVE, TEHACHAPI, CA, 93561",TEHACHAPI,CA,Existing,UNKNOWN,0,,,,0
"ADVENTIST HEALTHCARE FORT, 11711 LIVINGSTON ROAD, FORT WASHINGTON, MD, 20744",FORT WASHINGTON,MD,Existing,UNKNOWN,0,,,,0
"AHN GROVE CITY, 631 NORTH BROAD STREET EXT, GROVE CITY, PA, 16127",GROVE CITY,PA,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"AIR FORCE MED OPERATIONS AGENCY, 601 DAVY CROCKETT   STE 300C, SAN ANTONIO, TX, 78226",SAN ANTONIO,TX,Existing,UNKNOWN,0,,,,0
"AKRON CHILDRENS HOSPITAL BEEGHLY, 6505 MARKET STREET, BOARDMAN, OH, 44512",BOARDMAN,OH,Existing,UNKNOWN,0,,,,0
"ALLEGAN GENERAL HOSPITAL, 555 LINN STREET, ALLEGAN, MI, 49010",ALLEGAN,MI,Existing,UNKNOWN,0,,,,0
"ALLEGHENY GENERAL HOSPITAL, 320 EAST NORTH AVENUE, PITTSBURGH, PA, 15212",PITTSBURGH,PA,Existing,UNKNOWN,0,,,,0
"ALLEN COUNTY REGIONAL HOSPITAL, 3066 NORTH KENTUCKY, IOLA, KS, 66749",IOLA,KS,Existing,UNKNOWN,0,,,,0
"ALLIANCE COMMUNITY HOSPITAL, 200 EAST STATE STREET, ALLIANCE, OH, 44601",ALLIANCE,OH,Existing,UNKNOWN,0,0.0%,,,0
"ALLIANCEHEALTH BLACKWELL, 710 SOUTH 13TH STREET, BLACKWELL, OK, 74631",BLACKWELL,OK,Existing,UNKNOWN,0,0.0%,,,0
"ALLIANCEHEALTH CLINTON, 100 NORTH 30TH STREET, CLINTON, OK, 73601",CLINTON,OK,Existing,UNKNOWN,0,,,,0
"ALLIANCEHEALTH DEACONESS, 5501 NORTH PORTLAND AVENUE, OKLAHOMA CITY, OK, 73112",OKLAHOMA CITY,OK,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"ALLIANCEHEALTH MADILL, ONE HOSPITAL DRIVE, MADILL, OK, 73446",MADILL,OK,Existing,UNKNOWN,0,0.0%,,,0
"ALLIANCEHEALTH SEMINOLE, 2401 WEST WRANGLER BOULEVARD, SEMINOLE, OK, 74868",SEMINOLE,OK,Existing,UNKNOWN,0,,,,0
"ANGEL MEDICAL CENTER, 120 RIVERVIEW STREET, FRANKLIN, NC, 28734",FRANKLIN,NC,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"ANNIE PENN HOSPITAL, 618 SOUTH MAIN STREET, REIDSVILLE, NC, 27320",REIDSVILLE,NC,Existing,UNKNOWN,0,,,,0
"ARBUCKLE MEMORIAL HOSPITAL, 2011 WEST BROADWAY AVENUE, SULPHUR, OK, 73086",SULPHUR,OK,Existing,UNKNOWN,0,,,,0
"ARIA JEFFERSON HEALTH BUCKS CO, 380 NORTH OXFORD VALLEY ROAD, LANGHORNE, PA, 19047",LANGHORNE,PA,Existing,UNKNOWN,0,,,,0
"ARIA JEFFERSON HEALTH FRANKFORD, 4900 FRANKFORD AVENUE, PHILADELPHIA, PA, 19124",PHILADELPHIA,PA,Existing,UNKNOWN,0,,,,0
"ARIA JEFFERSON HEALTH TORRESDALE, RED LION AND KNIGHTS ROADS, PHILADELPHIA, PA, 19114",PHILADELPHIA,PA,Existing,UNKNOWN,0,,,,0
"ARIZONA GENERAL HOSPITAL ER, 14267 WEST BELL ROAD, SURPRISE, AZ, 85374",SURPRISE,AZ,Existing,UNKNOWN,0,,,,0
"ARIZONA GENERAL HOSPITAL MESA, 9130 EAST ELLIOT ROAD, MESA, AZ, 85212",MESA,AZ,Existing,UNKNOWN,0,,,,0
"ARTHUR M BLANK HOSPITAL INC, 2220 N DRUID HILLS RD NE, ATLANTA, GA, 30329",ATLANTA,GA,Existing,UNKNOWN,0,,,,0
"ASCENSION GREENFIELD, 4935 S 76TH STREET, GREENFIELD, WI, 53220",GREENFIELD,WI,Existing,UNKNOWN,0,,,,0
"ASCENSION NE WISC MERCY, 500 SOUTH OAKWOOD ROAD, OSHKOSH, WI, 54904",OSHKOSH,WI,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"ASCENSION SE WISC HOSP FRANKLIN, 10101 SOUTH 27TH STREET, FRANKLIN, WI, 53132",FRANKLIN,WI,Existing,UNKNOWN,0,,,,0
"ASCENSION WISCONSIN MENOMONEE, N88W14275 MAIN ST, MENOMONEE FALLS, WI, 53051",MENOMONEE FALLS,WI,Existing,UNKNOWN,0,,,,0
"ASHEVILLE SPECIALTY HOSPITAL, 428 BILTMORE AVENUE, ASHEVILLE, NC, 28801",ASHEVILLE,NC,Existing,UNKNOWN,0,,,,0
"ASPEN VALLEY HOSPITAL, 401 CASTLE CREEK RD, ASPEN, CO, 81611",ASPEN,CO,Lost,UNKNOWN,168,85.0%,2.0%,13.0%,3
"ATLANTA BIRTH CENTER, 1 BALTIMORE PL NW STE 105, ATLANTA, GA, 30308",ATLANTA,GA,Existing,UNKNOWN,0,,,,0
"ATLANTIC GENERAL HOSPITAL, 9733 HEALTHWAY DRIVE, BERLIN, MD, 21811",BERLIN,MD,Existing,UNKNOWN,0,,,,0
"ATRIUM HEALTH KINGS MOUNTAIN, 706 WEST KING STREET, KINGS MOUNTAIN, NC, 28086",KINGS MOUNTAIN,NC,Existing,UNKNOWN,0,,,,0
"ATRIUM HEALTH PHARMACY, 1001 BLYTHE BOULEVARD, CHARLOTTE, NC, 28203",CHARLOTTE,NC,Existing,UNKNOWN,0,,,,0
"AUDUBON CNTY MEM HOSP, 515 PACIFIC ST, AUDUBON, IA, 50025",AUDUBON,IA,Existing,UNKNOWN,0,70.0%,20.0%,10.0%,0
"AUSTIN ER  ANDERSON MILL, 13435 NORTH US HWY 183  STE 311, AUSTIN, TX, 78750",AUSTIN,TX,Existing,UNKNOWN,0,,,,0
"AVAIL HOSPITAL LAKE CHARLES, 3730 NELSON ROAD, LAKE CHARLES, LA, 70605",LAKE CHARLES,LA,Existing,UNKNOWN,0,,,,0
"AVENTURA HOSPITAL & MEDICAL CENTER, 20900 BISCAYNE BLVD, AVENTURA, FL, 33180",AVENTURA,FL,Existing,UNKNOWN,0,,,,0
"AVERA FLANDREAU HOSPITAL, 214 NORTH PRAIRIE STREET, FLANDREAU, SD, 57028",FLANDREAU,SD,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"AVERA MERRILL PIONEER HOSPITAL, 1100 SOUTH 10TH AVENUE, ROCK RAPIDS, IA, 51246",ROCK RAPIDS,IA,Existing,UNKNOWN,0,,,,0
"BAKERSFIELD MEMORIAL HOSPITAL, 420 34TH STREET, BAKERSFIELD, CA, 93303",BAKERSFIELD,CA,Lost,UNKNOWN,3796,59.0%,12.0%,29.0%,544
"BALLARD REHABILITATION HOSPITAL, 1760 WEST 16TH STREET, SAN BERNARDINO, CA, 92411",SAN BERNARDINO,CA,Existing,UNKNOWN,0,,,,0
"BANNER BOSWELL MEDICAL CTR, 10401 W THUNDERBIRD BLVD, SUN CITY, AZ, 85351",SUN CITY,AZ,Existing,UNKNOWN,0,,,,0
"BAPTIST EMERGENCY HOSPITAL, 16088 SAN PEDRO AVE STE 101, SAN ANTONIO, TX, 78232",SAN ANTONIO,TX,Existing,UNKNOWN,0,,,,0
"BAPTIST EMERGENCY HOSPITAL, 16977 INTERSTATE 35 N STE 100, SCHERTZ, TX, 78154",SCHERTZ,TX,Existing,UNKNOWN,0,,,,0
"BAPTIST EMERGENCY HOSPITAL, 7719 IH 35 SOUTH, SAN ANTONIO, TX, 78224",SAN ANTONIO,TX,Existing,UNKNOWN,0,,,,0
"BAPTIST EMERGENCY HOSPITAL, 806 CUPPLES ROAD, SAN ANTONIO, TX, 78237",SAN ANTONIO,TX,Existing,UNKNOWN,0,,,,0
"BAPTIST HEALTH  VAN BUREN, 211 CRAWFORD MEMORIAL DRIVE, VAN BUREN, AR, 72956",VAN BUREN,AR,Existing,UNKNOWN,0,,,,0
"BAPTIST HEALTH MED CTR, 1800 BYPASS ROAD, HEBER SPRINGS, AR, 72543",HEBER SPRINGS,AR,Existing,UNKNOWN,0,,,,0
"BAPTIST HEALTH MEDICAL CENTER, 1001 SCHNIDER DRIVE, MALVERN, AR, 72104",MALVERN,AR,Existing,UNKNOWN,0,0.0%,,,0
"BAPTIST MEMORIAL HOSP HUNTINGDON, 631 R B WILSON DRIVE, HUNTINGDON, TN, 38344",HUNTINGDON,TN,Existing,UNKNOWN,0,35.0%,,,0
"BAPTIST MEMORIAL HOSPITAL LEAKE, 1100 HIGHWAY 16 E, CARTHAGE, MS, 39051",CARTHAGE,MS,Existing,UNKNOWN,0,,,,0
"BAPTIST NEIGHBORHOOD HOSPITAL, 10811 TOWN CENTER DRIVE, SAN ANTONIO, TX, 78251",SAN ANTONIO,TX,Existing,UNKNOWN,0,,,,0
"BAPTIST NEIGHBORHOOD HOSPITAL, 25615 N HIGHWAY 281, SAN ANTONIO, TX, 78258",SAN ANTONIO,TX,Existing,UNKNOWN,0,,,,0
"BAPTIST NEIGHBORHOOD HOSPITAL, 8230 N 1604 W, SAN ANTONIO, TX, 78249",SAN ANTONIO,TX,Existing,UNKNOWN,0,,,,0
"BARAGA COUNTY MEMORIAL HOSPITAL, 18341 US HIGHWAY 41, L' ANSE, MI, 49946",L' ANSE,MI,Existing,UNKNOWN,0,,,,0
"BARROW REGIONAL MEDICAL CENTER, 316 NORTH BROAD STREET, WINDER, GA, 30680",WINDER,GA,Existing,UNKNOWN,0,,,,0
"BASCOM PALMER EYE INSTITUTE, 900 NW 17TH STREET, MIAMI, FL, 33136",MIAMI,FL,Existing,UNKNOWN,0,,,,0
"BATES COUNTY HOSPITAL, 615 WEST NURSERY, BUTLER, MO, 64730",BUTLER,MO,Existing,UNKNOWN,0,,,,0
"BATH COMMUNITY HOSPITAL, 106 PARK DR, HOT SPRINGS, VA, 24445",HOT SPRINGS,VA,Existing,UNKNOWN,0,,,,0
"BATON ROUGE GENERAL MEDICAL CENTER, 3600 FLORIDA, BATON ROUGE, LA, 70821",BATON ROUGE,LA,Existing,UNKNOWN,0,,,,0
"BAY AREA MIDWIFERY CTR, 2003 MEDICAL PKWY STE G50, ANNAPOLIS, MD, 21401",ANNAPOLIS,MD,Existing,UNKNOWN,0,,,,0
"BAY MEDICAL CENTER, 615 NORTH BONITA AVENUE, PANAMA CITY, FL, 32401",PANAMA CITY,FL,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"BAYLOR SCOTT & WHITE MEDICAL CTR, 2300 MARIE CURIE, GARLAND, TX, 75042",GARLAND,TX,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"BAYLOR SCOTT & WHITE MEDICAL CTR, 231 SOUTH COLLINS ROAD, SUNNYVALE, TX, 75182",SUNNYVALE,TX,Existing,UNKNOWN,0,,,,0
"BAYLOR SCOTT & WHITE MEDICAL CTR, 5330 OVERPASS ROAD, BUDA, TX, 78610",BUDA,TX,Existing,UNKNOWN,0,,,,0
"BAYLOR SCOTT & WHITE SURG HOSP, 3601 NORTH CALAIS STREET, SHERMAN, TX, 75090",SHERMAN,TX,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"BAYLOR SCOTT & WHITE UPTOWN, 2727 E LEMMON AVE, DALLAS, TX, 75204",DALLAS,TX,Existing,UNKNOWN,0,,,,0
"BAYLOR SCOTT AND WHITE HOSPITAL, 511 WEST FM 544  SUITE 100, MURPHY, TX, 75094",MURPHY,TX,Existing,UNKNOWN,0,,,,0
"BAYLOR SCOTT AND WHITE HOSPITAL, 620 SOUTH MAIN STREET  SUITE 100, KELLER, TX, 76248",KELLER,TX,Existing,UNKNOWN,0,,,,0
"BAYLOR SCOTT AND WHITE MED CTR, 4700 ALLIANCE BOULEVARD, PLANO, TX, 75093",PLANO,TX,Existing,UNKNOWN,0,,,,0
"BAYLOR SCOTT AND WHITE, 5268 WEST UNIVERSITY DRIVE, MCKINNEY, TX, 75071",MCKINNEY,TX,Existing,UNKNOWN,0,,,,0
"BAYLOR ST LUKES MEDICAL CENTER, 6720 BERTNER AVENUE, HOUSTON, TX, 77030",HOUSTON,TX,Existing,UNKNOWN,0,,,,0
"BBH CITIZENS BAPTIST, 604 STONE AVENUE, TALLADEGA, AL, 35160",TALLADEGA,AL,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"BBH PRINCETON BAPTIST, 701 PRINCETON AVENUE SW, BIRMINGHAM, AL, 35211",BIRMINGHAM,AL,Lost,UNKNOWN,0,,,,0
"BBH SHELBY BAPTIST, 1000 FIRST STREET NORTH, ALABASTER, AL, 35007",ALABASTER,AL,Lost,UNKNOWN,0,,,,0
"BEAR VALLEY COMMUNITY HOSPITAL, 41870 GARSTIN DRIVE, BIG BEAR LAKE, CA, 92315",BIG BEAR LAKE,CA,Existing,UNKNOWN,0,,,,0
"BELLVILLE MEDICAL CENTER, 44 NORTH CUMMINGS STREET, BELLVILLE, TX, 77418",BELLVILLE,TX,Existing,UNKNOWN,0,0.0%,,,0
"BELMOND MEDICAL CENTER, 403 1ST STREET SE, BELMOND, IA, 50421",BELMOND,IA,Existing,UNKNOWN,0,,,,0
"BENEWAH COMMUNITY HOSPITAL, 229 SEVENTH STREET, SAINT MARIES, ID, 83861",SAINT MARIES,ID,Existing,UNKNOWN,0,,,,0
"BENNETT COUNTY COMM HOSP, 102 MAJOR ALLEN, MARTIN, SD, 57551",MARTIN,SD,Existing,UNKNOWN,0,0.0%,,,0
"BERTRAND CHAFFEE HOSPITAL, 224 EAST MAIN STREET, SPRINGVILLE, NY, 14141",SPRINGVILLE,NY,Existing,UNKNOWN,0,,,,0
"BERWICK HOSPITAL CENTER, 701 EAST 16TH STREET, BERWICK, PA, 18603",BERWICK,PA,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"BETH ISRAEL DEACONESS HOSPITAL, 148 CHESTNUT ST, NEEDHAM, MA, 02492",NEEDHAM,MA,Existing,UNKNOWN,0,,,,0
"BETHESDA BUTLER COUNTY, 3125 HAMILTON MASON ROAD, HAMILTON, OH, 45011",HAMILTON,OH,Existing,UNKNOWN,0,,,,0
"BETHESDA WEST HOSPITAL, 9655 W BOYNTON BEACH BLVD, BOYNTON BEACH, FL, 33472",BOYNTON BEACH,FL,Existing,UNKNOWN,0,,,,0
"BINAH BIRTH & BREASTFEEDING, 4652 LAWRENCEVILLE HWY NW STE 102, LILBURN, GA, 30047",LILBURN,GA,Existing,UNKNOWN,0,,,,0
"BIRTH CENTER OF BATON ROUGE, 277 RUE DE LA VIE ST, BATON ROUGE, LA, 70817",BATON ROUGE,LA,Existing,UNKNOWN,0,,,,0
"BLADEN COUNTY HOSPITAL, 501 SOUTH POPLAR STREET, ELIZABETHTOWN, NC, 28337",ELIZABETHTOWN,NC,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"BLAKE MEDICAL CENTER, 2020 59TH STREET WEST, BRADENTON, FL, 34209",BRADENTON,FL,Existing,UNKNOWN,0,,,,0
"BLUFFTON REGIONAL MEDICAL CENTER, 303 SOUTH MAIN STREET, BLUFFTON, IN, 46714",BLUFFTON,IN,Existing,UNKNOWN,0,55.0%,35.0%,10.0%,0
"BOB WILSON MEM GRANT CO HOSPITAL, 415 NORTH MAIN STREET, ULYSSES, KS, 67880",ULYSSES,KS,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"BOLIVAR GENERAL HOSPITAL, 650 NUCKOLLS ROAD, BOLIVAR, TN, 38008",BOLIVAR,TN,Existing,UNKNOWN,0,,,,0
"BON SECOURS COMMUNITY HOSPITAL, 160 EAST MAIN STREET, PORT JERVIS, NY, 12771",PORT JERVIS,NY,Existing,UNKNOWN,0,0.0%,,,0
"BON SECOURS MARYVIEW MEDICAL CTR, 3636 HIGH STREET, PORTSMOUTH, VA, 23707",PORTSMOUTH,VA,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"BON SECOURS RICHMOND COMM HOSP, 1500 NORTH 28TH STREET, RICHMOND, VA, 23223",RICHMOND,VA,Existing,UNKNOWN,0,,,,0
"BOONE MEMORIAL HOSPITAL, 701 MADISON AVENUE, MADISON, WV, 25130",MADISON,WV,Existing,UNKNOWN,0,,,,0
"BOSTON CHILDRENS HOSP AT LEXINGTON, 482 BEDFORD STREET, LEXINGTON, MA, 02420",LEXINGTON,MA,Existing,UNKNOWN,0,,,,0
"BOUNDARY COMM HOSP, 6640 KANIKSU ST, BONNERS FERRY, ID, 83805",BONNERS FERRY,ID,Existing,UNKNOWN,0,,,,0
"BRADFORD REGIONAL MEDICAL CENTER, 116 INTERSTATE PARKWAY, BRADFORD, PA, 16701",BRADFORD,PA,Lost,UNKNOWN,0,0.0%,100.0%,0.0%,0
"BRAZOSPORT REGIONAL HLTH SYSTEM, 100 MEDICAL DRIVE, LAKE JACKSON, TX, 77566",LAKE JACKSON,TX,Lost,UNKNOWN,223,10.0%,,,13
"BRENTWOOD HOSPITAL, 1006 HIGHLAND AVE, SHREVEPORT, LA, 71101",SHREVEPORT,LA,Existing,UNKNOWN,0,,,,0
"BRYAN MEDICAL CENTER, 2300 S 16TH ST, LINCOLN, NE, 68502",LINCOLN,NE,Existing,UNKNOWN,0,,,,0
"BUCKTAIL MEDICAL CENTER, 1001 PINE STREET, RENOVO, PA, 17764",RENOVO,PA,Existing,UNKNOWN,0,,,,0
"BUCYRUS COMMUNITY HOSPITAL, 629 NORTH SANDUSKY AVENUE, BUCYRUS, OH, 44820",BUCYRUS,OH,Existing,UNKNOWN,0,,,,0
"BURNETT MEDICAL CENTER, 257 WEST ST GEORGE AVENUE, GRANTSBURG, WI, 54840",GRANTSBURG,WI,Existing,UNKNOWN,0,,,,0
"CA PACIFIC MED CTR, 2333 BUCHANAN ST, SAN FRANCISCO, CA, 94115",SAN FRANCISCO,CA,Existing,UNKNOWN,0,,,,0
"CALAIS REGIONAL HOSPITAL, 24 HOSPITAL LANE, CALAIS, ME, 04619",CALAIS,ME,Existing,UNKNOWN,0,,,,0
"CALDWELL MEMORIAL HOSPITAL, 411 MAIN ST, COLUMBIA, LA, 71418",COLUMBIA,LA,Existing,UNKNOWN,0,,,,0
"CALHOUN LIBERTY HOSPITAL, 20370 NE BURNS AVE, BLOUNTSTOWN, FL, 32424",BLOUNTSTOWN,FL,Existing,UNKNOWN,0,,,,0
"CALLAWAY DISTRICT HOSPITAL, 211 EAST KIMBALL STREET, CALLAWAY, NE, 68825",CALLAWAY,NE,Existing,UNKNOWN,0,,,,0
"CANDLER COUNTY HOSPITAL, 400 CEDAR ST, METTER, GA, 30439",METTER,GA,Existing,UNKNOWN,0,,,,0
"CAPITAL HEALTH REGIONAL MED CENTER, 750 BRUNSWICK AVENUE, TRENTON, NJ, 08638",TRENTON,NJ,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"CAPROCK HOSPITAL, 3134 BRIARCREST DRIVE, BRYAN, TX, 77802",BRYAN,TX,Existing,UNKNOWN,0,,,,0
"CAPTAIN JAMES A LOVELL FEDERAL, 3001 GREEN BAY ROAD, NORTH CHICAGO, IL, 60064",NORTH CHICAGO,IL,Existing,UNKNOWN,0,,,,0
"CAREPARTNERS REHAB HOSPITAL, 68 SWEETEN CREEK ROAD, ASHEVILLE, NC, 28803",ASHEVILLE,NC,Existing,UNKNOWN,0,,,,0
"CARLE HEALTH PEKIN, 600 SOUTH 13TH STREET, PEKIN, IL, 61554",PEKIN,IL,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"CARLE HEALTH PROCTOR HOSPITAL, 5409 N KNOXVILLE AVE, PEORIA, IL, 61614",PEORIA,IL,Existing,UNKNOWN,0,,,,0
"CAROLINAS REHABILITATION, 1100 BLYTHE BLVD, CHARLOTTE, NC, 28203",CHARLOTTE,NC,Existing,UNKNOWN,0,,,,0
"CARSON VALLEY MEDICAL CENTER, 1107 HIGHWAY 395 NORTH, GARDNERVILLE, NV, 89410",GARDNERVILLE,NV,Existing,UNKNOWN,0,,,,0
"CASEY COUNTY HOSPITAL, 187 WOLFORD AVENUE, LIBERTY, KY, 42539",LIBERTY,KY,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"CEDARS SINAI MARINA DEL REY HOSP, 4650 LINCOLN BOULEVARD, MARINA DEL REY, CA, 90292",MARINA DEL REY,CA,Existing,UNKNOWN,0,,,,0
"CENTENNIAL HOSPITAL, 14200 EAST ARAPAHOE ROAD, CENTENNIAL, CO, 80112",CENTENNIAL,CO,Existing,UNKNOWN,0,,,,0
"CENTRAL HARNETT HOSPITAL, 215 BRIGHTWATER DR, LILLINGTON, NC, 27546",LILLINGTON,NC,Existing,UNKNOWN,0,,,,0
"CHAMBERS MEMORIAL HOSP, 719 DETROIT ST, DANVILLE, AR, 72833",DANVILLE,AR,Existing,UNKNOWN,0,0.0%,,,0
"CHASE CO COMMUNITY HOSP, 600 WEST 12TH ST, IMPERIAL, NE, 69033",IMPERIAL,NE,Existing,UNKNOWN,0,,,,0
"CHI HEALTH MISSOURI VALLEY, 631 N 8TH STREET, MISSOURI VALLEY, IA, 51555",MISSOURI VALLEY,IA,Existing,UNKNOWN,0,,,,0
"CHICOT MEMORIAL HOSPITAL, 2729 HIGHWAY 65 SOUTH, LAKE VILLAGE, AR, 71653",LAKE VILLAGE,AR,Existing,UNKNOWN,0,0.0%,,,0
"CHILDRENS HOME OF PITTSBURGH, 5324 PENN AVENUE, PITTSBURGH, PA, 15224",PITTSBURGH,PA,Existing,UNKNOWN,0,40.0%,40.0%,20.0%,0
"CHILDRENS HOSPITAL COON RAPIDS, 4020 COON RAPIDS BOULEVARD NW, COON RAPIDS, MN, 55433",COON RAPIDS,MN,Existing,UNKNOWN,0,,,,0
"CHILDRENS HOSPITAL MICHIGAN TROY, 350 WEST BIG BEAVER ROAD, TROY, MI, 48084",TROY,MI,Existing,UNKNOWN,0,,,,0
"CHILDRENS HOSPITAL OF RICHMOND, 1000 E BROAD ST, RICHMOND, VA, 23219",RICHMOND,VA,Existing,UNKNOWN,0,,,,0
"CHILDRENS HOSPITAL, 2924 BROOK ROAD, RICHMOND, VA, 23220",RICHMOND,VA,Existing,UNKNOWN,0,,,,0
"CHOC HOSPITAL, 1201 WEST LA VETA AVENUE, ORANGE, CA, 92868",ORANGE,CA,Existing,UNKNOWN,0,,,,0
"CHOCTAW HEALTH CENTER, 210 HOSPITAL CIRCLE, CHOCTAW, MS, 39350",CHOCTAW,MS,Existing,UNKNOWN,0,,,,0
"CHOP KING OF PRUSSIA, 550 SOUTH GODDARD BOULEVARD, KING OF PRUSSIA, PA, 19406",KING OF PRUSSIA,PA,Existing,UNKNOWN,250,,,,250
"CHRIST HOSPITAL, 176 PALISADE AVENUE, JERSEY CITY, NJ, 07306",JERSEY CITY,NJ,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"CHRISTIAN HOSPITAL NORTHEAST, 11133 DUNN ROAD, SAINT LOUIS, MO, 63136",SAINT LOUIS,MO,Existing,UNKNOWN,0,,,,0
"CHRISTUS GOOD SHEPHERD MEDICAL CTR, 811 SOUTH WASHINGTON AVENUE, MARSHALL, TX, 75670",MARSHALL,TX,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"CHRISTUS SANTA ROSA HOSPITAL, 2827 BABCOCK ROAD, SAN ANTONIO, TX, 78229",SAN ANTONIO,TX,Existing,UNKNOWN,0,,,,0
"CHRISTUS SHREVEPORT-BOSSIER, ONE ST MARY PLACE, SHREVEPORT, LA, 71101",SHREVEPORT,LA,Existing,UNKNOWN,0,,,,0
"CHRISTUS SOUTHEAST TX ST MARY, 3600 GATES BLVD, PORT ARTHUR, TX, 77642",PORT ARTHUR,TX,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"CLAIBORNE COUNTY HOSPITAL, 123 MCCOMB AVENUE, PORT GIBSON, MS, 39150",PORT GIBSON,MS,Existing,UNKNOWN,0,,,,0
"CLEVELAND AREA HOSPITAL, 1401 WEST PAWNEE STREET, CLEVELAND, OK, 74020",CLEVELAND,OK,Existing,UNKNOWN,0,,,,0
"CLEVELAND CLINIC AVON HOSPITAL, 33300 CLEVELAND CLINIC BLVD, AVON, OH, 44011",AVON,OH,Existing,UNKNOWN,0,,,,0
"CLEVELAND CLINIC CHILDRENS HOSP, 2801 MARTIN LUTHER KING JR DRIVE, CLEVELAND, OH, 44104",CLEVELAND,OH,Existing,UNKNOWN,0,,,,0
"CLEVELAND CLINIC MARTIN SOUTH, 2100 SE SALERNO ROAD, STUART, FL, 34997",STUART,FL,Existing,UNKNOWN,0,,,,0
"CLIFTON FINE HOSPITAL, 1014 OSWEGATCHIE TRAIL ROAD, STAR LAKE, NY, 13690",STAR LAKE,NY,Existing,UNKNOWN,0,,,,0
