Hospital Name,City,State,Current Contract Holder,Contract Expiry Date,Net Total Births,Month
NORTHSIDE HOSPITAL,ATLANTA,GA,Abbott Exclusive,2025-02-28,15916,2025-02
NORTHERN MAINE MEDICAL CENTER,FORT KENT,ME,MJN Exclusive,2025-02-28,44,2025-02
NORTHSIDE HOSPITAL - FORSYTH,CUMMING,GA,Abbott Exclusive,2025-02-28,3798,2025-02
NORTHSIDE HOSPITAL CHEROKEE,CANTON,GA,Abbott Exclusive,2025-02-28,2680,2025-02
NORTHWESTERN LAKE FOREST HOSP,LAKE FOREST,IL,Abbott Exclusive,2025-02-28,1688,2025-02
NICHOLAS H NOYES MEM HOSPITAL,DANSVILLE,NY,MJN Exclusive,2025-02-28,376,2025-02
NICKLAUS CHILDRENS HOSPITAL,MIAMI,FL,MJN Exclusive,2025-02-28,559,2025-02
NORTH MISSISSIPPI MEDICAL CENTER,TUPELO,MS,Choice,2025-02-28,0,2025-02
NORMAN REGIONAL HOSPITAL,NORMAN,OK,MJN Exclusive,2025-02-28,2532,2025-02
NORTHERN DUTCHESS HOSPITAL,RHINEBECK,NY,Abbott Exclusive,2025-02-28,882,2025-02
NORTHEAST GEORGIA MED CTR BRASELTON,BRASELTON,GA,Abbott Exclusive,2025-02-28,750,2025-02
NORTH COUNTRY HOSPITAL,NEWPORT,VT,Choice,2025-02-28,185,2025-02
NORTH FULTON HOSPITAL,ROSWELL,GA,MJN Exclusive,2025-02-28,1520,2025-02
NORTHEASTERN HEALTH SYSTEM,TAHLEQUAH,OK,MJN Exclusive,2025-02-28,210,2025-02
NEWPORT HOSPITAL,NEWPORT,RI,Abbott Exclusive,2025-02-28,445,2025-02
NORTHEAST GEORGIA MEDICAL CENTER,GAINESVILLE,GA,Abbott Exclusive,2025-02-28,4797,2025-02
NO KANSAS CITY MEM HOSP,KANSAS CITY,MO,Abbott Exclusive,2025-02-28,2001,2025-02
NORTH MISS MED CENTER WEST POINT,WEST POINT,MS,Abbott Exclusive,2025-02-28,407,2025-02
NEBRASKA METHODIST HOSP,OMAHA,NE,MJN Exclusive,2025-02-28,10,2025-02
NEWARK BETH ISRAEL MEDICAL CENTER,NEWARK,NJ,Abbott Exclusive,2025-02-28,3525,2025-02
MONTGOMERY CO MEM HOSP,RED OAK,IA,Other,2025-02-28,0,2025-02
MORRIS COUNTY HOSPITAL,COUNCIL GROVE,KS,Abbott Exclusive,2025-02-28,16,2025-02
MORRIS HOSPITAL,MORRIS,IL,Abbott Exclusive,2025-02-28,685,2025-02
MORRISTOWN-HAMBLEN HEALTHCARE SYS,MORRISTOWN,TN,Choice,2025-02-28,696,2025-02
MORTON GENERAL HOSP,MORTON,WA,Choice,2025-02-28,0,2025-02
MOSAIC LIFE CARE,SAINT JOSEPH,MO,MJN Exclusive,2025-02-28,1739,2025-02
MOUNT DESERT ISLAND HOSPITAL,BAR HARBOR,ME,MJN Exclusive,2025-02-28,98,2025-02
MULTICARE AUBURN MEDICAL CENTER,AUBURN,WA,Abbott Exclusive,2025-02-28,1450,2025-02
MULTICARE DEACONESS HOSPITAL,SPOKANE,WA,Abbott Exclusive,2025-02-28,1705,2025-02
MULTICARE GOOD SAMARITAN HOSP,PUYALLUP,WA,Abbott Exclusive,2025-02-28,2086,2025-02
MULTICARE TACOMA GEN HOSPITAL,TACOMA,WA,Abbott Exclusive,2025-02-28,3309,2025-02
MULTICARE VALLEY HOSPITAL,SPOKANE VALLEY,WA,Abbott Exclusive,2025-02-28,599,2025-02
MULTICARE YAKIMA MEMORIAL HOSP,YAKIMA,WA,Abbott Exclusive,2025-02-28,2426,2025-02
NEWMAN REGIONAL HEALTH,EMPORIA,KS,Choice,2025-02-28,345,2025-02
MUSC HEALTH FLORENCE MEDICAL CTR,FLORENCE,SC,Abbott Exclusive,2025-02-28,957,2025-02
MYRTUE MEDICAL CENTER,HARLAN,IA,MJN Exclusive,2025-02-28,129,2025-02
NASH GENERAL HOSPITAL,ROCKY MOUNT,NC,Abbott Exclusive,2025-02-28,1176,2025-02
NASHVILLE GEN HOSPITAL AT MEHARRY,NASHVILLE,TN,Abbott Exclusive,2025-02-28,411,2025-02
NATIONWIDE CHILDRENS HOSPITAL,COLUMBUS,OH,Abbott Exclusive,2025-02-28,6703,2025-02
NATIONWIDE CHILDRENS HOSPITAL,COLUMBUS,OH,MJN Exclusive,2025-02-28,6703,2025-02
NATIVIDAD MEDICAL CENTER,SALINAS,CA,Abbott Exclusive,2025-02-28,3510,2025-02
NCH BAKER HOSPITAL DOWNTOWN,NAPLES,FL,Other,2025-02-28,0,2025-02
NCH NORTH NAPLES HOSPITAL,NAPLES,FL,MJN Exclusive,2025-02-28,3646,2025-02
NEA BAPTIST MEMORIAL HOSPITAL,JONESBORO,AR,Abbott Exclusive,2025-02-28,1032,2025-02
NEBRASKA MEDICINE,OMAHA,NE,Abbott Exclusive,2025-02-28,1970,2025-02
NORTON CO HOSP,NORTON,KS,Choice,2025-02-28,0,2025-02
NEMAHA VALLEY COMM HOSP,SENECA,KS,Choice,2025-02-28,59,2025-02
NEW ULM MED CTR,NEW ULM,MN,Abbott Exclusive,2025-02-28,309,2025-02
MUSC MEDICAL CENTER HOSPITALS,CHARLESTON,SC,Other,2025-02-28,0,2025-02
NOVANT HEALTH BRUNSWICK MEDICAL CTR,BOLIVIA,NC,Abbott Exclusive,2025-02-28,342,2025-02
ABBOTT-NORTHWESTERN HOSP,MINNEAPOLIS,MN,Abbott Exclusive,2025-02-28,4000,2025-02
NOVANT HEALTH HUNTERSVILLE MED CTR,HUNTERSVILLE,NC,Abbott Exclusive,2025-02-28,2090,2025-02
PENN MEDICINE PRINCETON MED CTR,PLAINSBORO,NJ,Abbott Exclusive,2025-02-28,2248,2025-02
PENN MEDICINE LANCASTER GEN HLTH,LANCASTER,PA,Abbott Exclusive,2025-02-28,4293,2025-02
PARKWEST MEDICAL CENTER,KNOXVILLE,TN,Choice,2025-02-28,1761,2025-02
PARKVIEW WHITLEY HOSPITAL,COLUMBIA CITY,IN,Abbott Exclusive,2025-02-28,388,2025-02
PARKVIEW REGIONAL MEDICAL CENTER,FORT WAYNE,IN,Abbott Exclusive,2025-02-28,4069,2025-02
PARKVIEW NOBLE HOSPITAL,KENDALLVILLE,IN,Abbott Exclusive,2025-02-28,240,2025-02
PENN ST HEALTH ST JOSEPH MED CTR,READING,PA,Abbott Exclusive,2025-02-28,800,2025-02
PARKVIEW LAGRANGE HOSPITAL,LA GRANGE,IN,Other,2025-02-28,0,2025-02
PARKVIEW HOSPITAL RANDALLIA,FORT WAYNE,IN,Abbott Exclusive,2025-02-28,325,2025-02
PARKVIEW DEKALB HOSPITAL,AUBURN,IN,Other,2025-02-28,0,2025-02
PAOLI HOSPITAL,PAOLI,PA,Abbott Exclusive,2025-02-28,2253,2025-02
PALOMAR HEALTH DOWNTOWN CAMPUS,ESCONDIDO,CA,Choice,2025-02-28,0,2025-02
PALO VERDE HOSP ASSN,BLYTHE,CA,MJN Exclusive,2025-02-28,0,2025-02
OWENSBORO HEALTH REGIONAL HOSPITAL,OWENSBORO,KY,MJN Exclusive,2025-02-28,2012,2025-02
PARKVIEW HUNTINGTON HOSPITAL,HUNTINGTON,IN,Abbott Exclusive,2025-02-28,298,2025-02
PENN STATE HOLY SPIRIT MED CTR,CAMP HILL,PA,Other,2025-02-28,0,2025-02
PENN STATE MILTON S HERSHEY MED CTR,HERSHEY,PA,Abbott Exclusive,2025-02-28,2607,2025-02
PENNOCK HOSPITAL,HASTINGS,MI,Abbott Exclusive,2025-02-28,295,2025-02
PIEDMONT NEWTON HOSPITAL,COVINGTON,GA,Abbott Exclusive,2025-02-28,746,2025-02
PIEDMONT NEWNAN HOSPITAL,NEWNAN,GA,Abbott Exclusive,2025-02-28,1790,2025-02
PIEDMONT MOUNTAINSIDE HOSPITAL,JASPER,GA,Abbott Exclusive,2025-02-28,325,2025-02
PIEDMONT HOSPITAL,ATLANTA,GA,Abbott Exclusive,2025-02-28,3301,2025-02
PIEDMONT HENRY HOSPITAL,STOCKBRIDGE,GA,Abbott Exclusive,2025-02-28,2021,2025-02
PIEDMONT FAYETTE HOSPITAL,FAYETTEVILLE,GA,Abbott Exclusive,2025-02-28,2600,2025-02
PIEDMONT AUGUSTA,AUGUSTA,GA,Abbott Exclusive,2025-02-28,3171,2025-02
PIEDMONT ATHENS REGIONAL MED CTR,ATHENS,GA,Abbott Exclusive,2025-02-28,2911,2025-02
PICKERINGTON METHODIST HOSPITAL,PICKERINGTON,OH,MJN Exclusive,2025-02-28,1200,2025-02
PHOENIX CHILDRENS HOSP,PHOENIX,AZ,MJN Exclusive,2025-02-28,1198,2025-02
PHOENIX CHILDRENS ARROWHEAD HOSP,GLENDALE,AZ,MJN Exclusive,2025-02-28,0,2025-02
PHOEBE SUMTER MEDICAL CENTER,AMERICUS,GA,Abbott Exclusive,2025-02-28,803,2025-02
PHOEBE PUTNEY MEMORIAL HOSPITAL,ALBANY,GA,Abbott Exclusive,2025-02-28,3589,2025-02
PETALUMA VALLEY HOSPITAL,PETALUMA,CA,Other,2025-02-28,0,2025-02
PERHAM MEMORIAL HOSPITAL & HEALTH,PERHAM,MN,Abbott Exclusive,2025-02-28,198,2025-02
OWENSBORO HEALTH MUHLENBERG,GREENVILLE,KY,Other,2025-02-28,0,2025-02
OWATONNA HOSPITAL,OWATONNA,MN,Abbott Exclusive,2025-02-28,390,2025-02
OUR LADY OF LOURDES MEM HOSPITAL,BINGHAMTON,NY,MJN Exclusive,2025-02-28,990,2025-02
ORTONVILLE AREA HLTH SVC,ORTONVILLE,MN,Abbott Exclusive,2025-02-28,125,2025-02
NYP QUEENS,FLUSHING,NY,Abbott Exclusive,2025-02-28,3096,2025-02
NYP LAWRENCE HOSPITAL,BRONXVILLE,NY,Abbott Exclusive,2025-02-28,953,2025-02
NYP BROOKLYN METHODIST HOSPITAL,BROOKLYN,NY,Abbott Exclusive,2025-02-28,4400,2025-02
NYP / WEILL CORNELL MEDICAL CENTER,NEW YORK,NY,Abbott Exclusive,2025-02-28,7300,2025-02
NYP / LOWER MANHATTAN HOSPITAL,NEW YORK,NY,Abbott Exclusive,2025-02-28,2250,2025-02
NYP / COLUMBIA UNIV MEDICAL CENTER,NEW YORK,NY,Abbott Exclusive,2025-02-28,4250,2025-02
NW MEDICINE MCHENRY HOSPITAL,MCHENRY,IL,MJN Exclusive,2025-02-28,0,2025-02
NW MEDICINE HUNTLEY HOSPITAL,HUNTLEY,IL,MJN Exclusive,2025-02-28,1918,2025-02
NW MEDICINE DELNOR HOSPITAL,GENEVA,IL,Abbott Exclusive,2025-02-28,1230,2025-02
NW MEDICINE CENTRAL DUPAGE HOSP,WINFIELD,IL,Abbott Exclusive,2025-02-28,2618,2025-02
NOVANT HLTH NEW HANOVER MED CTR,WILMINGTON,NC,MJN Exclusive,2025-02-28,4141,2025-02
NOVANT HEALTH THOMASVILLE MED CTR,THOMASVILLE,NC,Abbott Exclusive,2025-02-28,624,2025-02
MONTEREY PARK HOSP,MONTEREY PARK,CA,Choice,2025-02-28,1210,2025-02
NOVANT HEALTH PRESBYTERIAN MED CTR,CHARLOTTE,NC,Abbott Exclusive,2025-02-28,5989,2025-02
NOVANT HEALTH MATTHEWS MEDICAL CTR,MATTHEWS,NC,Abbott Exclusive,2025-02-28,2585,2025-02
OCHSNER BAPTIST,NEW ORLEANS,LA,Abbott Exclusive,2025-02-28,2705,2025-02
NOVANT HEALTH FORSYTH MEDICAL CTR,WINSTON SALEM,NC,Abbott Exclusive,2025-02-28,4359,2025-02
OCHSNER LSU HEALTH MONROE,MONROE,LA,Abbott Exclusive,2025-02-28,984,2025-02
OCHSNER LSU ST MARY MEDICAL CTR,SHREVEPORT,LA,Abbott Exclusive,2025-02-28,1919,2025-02
OROVILLE HOSP,OROVILLE,CA,Choice,2025-02-28,457,2025-02
ORANGE CITY AREA HLTH SYSTEM,ORANGE CITY,IA,Abbott Exclusive,2025-02-28,250,2025-02
ONSLOW MEMORIAL HOSPITAL,JACKSONVILLE,NC,Abbott Exclusive,2025-02-28,1517,2025-02
ONEIDA HEALTHCARE,ONEIDA,NY,MJN Exclusive,2025-02-28,463,2025-02
OLMSTED MED CTR,ROCHESTER,MN,Abbott Exclusive,2025-02-28,928,2025-02
OLIVE VIEW MEDICAL CTR,SYLMAR,CA,Abbott Exclusive,2025-02-28,950,2025-02
OLATHE MEDICAL CTR,OLATHE,KS,Abbott Exclusive,2025-02-28,1304,2025-02
OHSU HOSPITAL,PORTLAND,OR,Abbott Exclusive,2025-02-28,2209,2025-02
OHIO VALLEY MEDICAL CENTER,WHEELING,WV,Other,2025-02-28,0,2025-02
OCHSNER ST ANNE HOSP,RACELAND,LA,Abbott Exclusive,2025-02-28,302,2025-02
OCHSNER MEDICAL CENTER,NEW ORLEANS,LA,Other,2025-02-28,0,2025-02
OCHSNER MEDICAL CENTER,JEFFERSON,LA,Abbott Exclusive,2025-02-28,1036,2025-02
OCHSNER MED CTR-KENNER,KENNER,LA,Abbott Exclusive,2025-02-28,960,2025-02
OCHSNER MED CTR-BATON ROUGE,BATON ROUGE,LA,Abbott Exclusive,2025-02-28,1330,2025-02
OCHSNER MED CTR -  WEST BANK,GRETNA,LA,Abbott Exclusive,2025-02-28,1315,2025-02
OCHSNER LSU HEALTH SHREVEPORT,SHREVEPORT,LA,Abbott Exclusive,2025-02-28,90,2025-02
NOVANT HEALTH ROWAN MEDICAL CTR,SALISBURY,NC,Abbott Exclusive,2025-02-28,1077,2025-02
MITCHELL CTY COMM HOSP,BELOIT,KS,MJN Exclusive,2025-02-28,81,2025-02
MONMOUTH MEDICAL CENTER,LONG BRANCH,NJ,Abbott Exclusive,2025-02-28,5850,2025-02
KAISER OAKLAND MEDICAL CENTER,OAKLAND,CA,Abbott Exclusive,2025-02-28,2671,2025-02
KAISER MORENO VALLEY COMM HOSP,MORENO VALLEY,CA,Abbott Exclusive,2025-02-28,1850,2025-02
KAISER MODESTO MEDICAL CTR,MODESTO,CA,Abbott Exclusive,2025-02-28,4003,2025-02
KAISER MOANALUA MED CTR,HONOLULU,HI,Abbott Exclusive,2025-02-28,1557,2025-02
KAISER MEDICAL CENTER-IRVINE,IRVINE,CA,Abbott Exclusive,2025-02-28,3195,2025-02
KAISER FOUNDATION HOSPITAL ANTIOCH,ANTIOCH,CA,Abbott Exclusive,2025-02-28,2000,2025-02
KAISER ONTARIO MEDICAL CENTER,ONTARIO,CA,Abbott Exclusive,2025-02-28,3017,2025-02
KAISER FONTANA MEDICAL CENTER,FONTANA,CA,Abbott Exclusive,2025-02-28,4620,2025-02
KAISER FND HOSP-WALNUT CRK,WALNUT CREEK,CA,Abbott Exclusive,2025-02-28,3420,2025-02
KAISER FND HOSP-W HILLS,WOODLAND HILLS,CA,Abbott Exclusive,2025-02-28,1501,2025-02
KAISER FND HOSP-VALLEJO,VALLEJO,CA,Abbott Exclusive,2025-02-28,2640,2025-02
KAISER FND HOSP-SO SAC,SACRAMENTO,CA,Abbott Exclusive,2025-02-28,3635,2025-02
KAISER FND HOSP-S TERESA,SAN JOSE,CA,Abbott Exclusive,2025-02-28,2096,2025-02
KAISER FND HOSP-S ROSA,SANTA ROSA,CA,Abbott Exclusive,2025-02-28,2500,2025-02
KAISER FNDTN HOSP-W.LA,LOS ANGELES,CA,Abbott Exclusive,2025-02-28,1850,2025-02
KAISER PERM ROSEVILLE MEDICAL CTR,ROSEVILLE,CA,Abbott Exclusive,2025-02-28,6125,2025-02
KAISER PERMANENTE SAN FRANCISCO,SAN FRANCISCO,CA,Abbott Exclusive,2025-02-28,2851,2025-02
KAISER PERMANENTE ZION MEDICAL CTR,SAN DIEGO,CA,Abbott Exclusive,2025-02-28,2607,2025-02
LAKE CHARLES MEMORIAL HOSPITAL,LAKE CHARLES,LA,MJN Exclusive,2025-02-28,1782,2025-02
LAFAYETTE GENERAL MEDICAL CENTER,LAFAYETTE,LA,Abbott Exclusive,2025-02-28,3280,2025-02
LAC USC MEDICAL CENTER,LOS ANGELES,CA,Abbott Exclusive,2025-02-28,896,2025-02
LA RABIDA CHILDRENS HOSPITAL,CHICAGO,IL,Other,2025-02-28,0,2025-02
KOOTENAI HEALTH,COEUR D ALENE,ID,Abbott Exclusive,2025-02-28,1950,2025-02
KINGMAN REGIONAL HOSP,KINGMAN,AZ,Abbott Exclusive,2025-02-28,652,2025-02
KENT HOSPITAL,WARWICK,RI,Abbott Exclusive,2025-02-28,498,2025-02
KENNESTONE HOSPITAL INC,MARIETTA,GA,MJN Exclusive,2025-02-28,6530,2025-02
KEARNY COUNTY HOSPITAL,LAKIN,KS,Choice,2025-02-28,315,2025-02
KAUAI VETERANS MEMORIAL HOSPITAL,WAIMEA,HI,MJN Exclusive,2025-02-28,289,2025-02
KAPIOLANI MEDICAL CENTER,HONOLULU,HI,Abbott Exclusive,2025-02-28,7089,2025-02
KALISPELL REGIONAL MEDICAL CTR,KALISPELL,MT,Abbott Exclusive,2025-02-28,735,2025-02
KAISER SUNNYSIDE MEDICAL CENTER,CLACKAMAS,OR,Abbott Exclusive,2025-02-28,2791,2025-02
KAISER SOUTH BAY MEDICAL CENTER,HARBOR CITY,CA,Abbott Exclusive,2025-02-28,2620,2025-02
KAISER REDWOOD CITY MEDICAL CTR,REDWOOD CITY,CA,Abbott Exclusive,2025-02-28,1797,2025-02
KAISER FND HOSP-S CLARA,SANTA CLARA,CA,Abbott Exclusive,2025-02-28,4671,2025-02
LAKE REGIONAL HEALTH SYSTEM,OSAGE BEACH,MO,Abbott Exclusive,2025-02-28,596,2025-02
KAISER FND HOSP-RIVERSIDE,RIVERSIDE,CA,Abbott Exclusive,2025-02-28,3300,2025-02
KAISER FND HOSP-ORANGE CTY,ANAHEIM,CA,Abbott Exclusive,2025-02-28,4216,2025-02
JACKSON NORTH MEDICAL CENTER,NORTH MIAMI BEACH,FL,MJN Exclusive,2025-02-28,1377,2025-02
JACKSON MEMORIAL HOSPITAL,MIAMI,FL,MJN Exclusive,2025-02-28,4264,2025-02
JACKSON HOSPITAL,MONTGOMERY,AL,MJN Exclusive,2025-02-28,920,2025-02
JACKSON COUNTY MEMORIAL HOSPITAL,ALTUS,OK,Choice,2025-02-28,392,2025-02
J H STROGER JR HOSP,CHICAGO,IL,MJN Exclusive,2025-02-28,766,2025-02
IU HEALTH MORGAN HOSP & MEDICAL CTR,MARTINSVILLE,IN,Other,2025-02-28,0,2025-02
JACKSON SOUTH COMMUNITY HOSPITAL,MIAMI,FL,MJN Exclusive,2025-02-28,462,2025-02
IU HEALTH METHODIST HOSPITAL,INDIANAPOLIS,IN,Abbott Exclusive,2025-02-28,0,2025-02
IU HEALTH BLOOMINGTON HOSPITAL,BLOOMINGTON,IN,Abbott Exclusive,2025-02-28,1771,2025-02
IU HEALTH BALL MEMORIAL HOSPITAL,MUNCIE,IN,Abbott Exclusive,2025-02-28,1244,2025-02
IRWIN COUNTY HOSPITAL,OCILLA,GA,MJN Exclusive,2025-02-28,0,2025-02
IRA DAVENPORT MEMORIAL HOSPITAL,BATH,NY,MJN Exclusive,2025-02-28,0,2025-02
IOWA LUTHERAN HOSPITAL,DES MOINES,IA,Abbott Exclusive,2025-02-28,0,2025-02
INSPIRA MEDICAL CENTER ELMER,ELMER,NJ,Abbott Exclusive,2025-02-28,0,2025-02
IU HEALTH FRANKFORT,FRANKFORT,IN,Other,2025-02-28,0,2025-02
JACKSON-MADISON COUNTY GEN HOSP,JACKSON,TN,Abbott Exclusive,2025-02-28,3236,2025-02
JAMESTOWN REGIONAL MEDICAL CENTER,JAMESTOWN,ND,Abbott Exclusive,2025-02-28,228,2025-02
JAVON BEA HOSPITAL RIVERSIDE,ROCKFORD,IL,MJN Exclusive,2025-02-28,1607,2025-02
KAISER FND HOSP-BALDWIN,BALDWIN PARK,CA,Abbott Exclusive,2025-02-28,3450,2025-02
KAISER FND HOSP,FRESNO,CA,Abbott Exclusive,2025-02-28,1781,2025-02
KAISER FND HOSP,DOWNEY,CA,Abbott Exclusive,2025-02-28,4366,2025-02
KADLEC REGIONAL MEDICAL CENTER,RICHLAND,WA,Abbott Exclusive,2025-02-28,2640,2025-02
JUPITER MEDICAL CENTER,JUPITER,FL,Abbott Exclusive,2025-02-28,2248,2025-02
JPS HEALTH NETWORK,FORT WORTH,TX,Abbott Exclusive,2025-02-28,5000,2025-02
JONES REG MED CTR,ANAMOSA,IA,Other,2025-02-28,0,2025-02
JONES MEMORIAL HOSPITAL,WELLSVILLE,NY,MJN Exclusive,2025-02-28,386,2025-02
JOHNSTON MEMORIAL HOSPITAL,SMITHFIELD,NC,Abbott Exclusive,2025-02-28,1789,2025-02
JOHNSON REG MED CTR,CLARKSVILLE,AR,Other,2025-02-28,322,2025-02
JOHNSON CO HEALTHCARE CTR,BUFFALO,WY,Choice,2025-02-28,45,2025-02
JOHN D ARCHBOLD MEMORIAL HOSP,THOMASVILLE,GA,MJN Exclusive,2025-02-28,739,2025-02
JERSEY CITY MEDICAL CENTER,JERSEY CITY,NJ,Abbott Exclusive,2025-02-28,2159,2025-02
JENNY MELHAM MEMORIAL MED CENTER,BROKEN BOW,NE,Other,2025-02-28,0,2025-02
JEFF DAVIS HOSPITAL,HAZLEHURST,GA,Other,2025-02-28,0,2025-02
KAISER FND HOSP-PAN CITY,PANORAMA CITY,CA,Abbott Exclusive,2025-02-28,2301,2025-02
MONROE CLINIC HOSPITAL,MONROE,WI,Abbott Exclusive,2025-02-28,415,2025-02
LAKELAND COMMUNITY HOSPITAL,NILES,MI,Abbott Exclusive,2025-02-28,531,2025-02
LANCASTER MEDICAL CENTER,LANCASTER,SC,Abbott Exclusive,2025-02-28,467,2025-02
YUMA REG MED CTR,YUMA,AZ,Abbott Exclusive,2025-02-28,3080,2025-02
MERCY HOSPITAL ANDERSON,CINCINNATI,OH,Abbott Exclusive,2025-02-28,1370,2025-02
MERCER COUNTY COMMUNITY HOSPITAL,COLDWATER,OH,MJN Exclusive,2025-02-28,408,2025-02
MEMORIAL SLOAN-KETTERING CANCER CTR,NEW YORK,NY,Other,2025-02-28,0,2025-02
MEMORIAL MED CTR,ASHLAND,WI,Choice,2025-02-28,201,2025-02
MEMORIAL HOSPITAL & MANOR,BAINBRIDGE,GA,MJN Exclusive,2025-02-28,850,2025-02
MERCY MEDICAL CENTER,CEDAR RAPIDS,IA,Abbott Exclusive,2025-02-28,800,2025-02
MEMORIAL HOSPITAL,JASPER,IN,MJN Exclusive,2025-02-28,880,2025-02
MEMORIAL HOSPITAL,BELLEVILLE,IL,MJN Exclusive,2025-02-28,0,2025-02
MEMORIAL HERMANN THE WOODLANDS,SPRING,TX,MJN Exclusive,2025-02-28,6969,2025-02
MEMORIAL HERMANN SOUTHEAST,HOUSTON,TX,MJN Exclusive,2025-02-28,692,2025-02
MEM HOSP SHERIDAN CO,SHERIDAN,WY,MJN Exclusive,2025-02-28,352,2025-02
MEDICAL ARTS HOSPITAL,LAMESA,TX,Choice,2025-02-28,0,2025-02
MED CTR OF THE ROCKIES,LOVELAND,CO,Abbott Exclusive,2025-02-28,1441,2025-02
MEMORIAL HOSPITAL,CARTHAGE,IL,Choice,2025-02-28,95,2025-02
MERCY MEDICAL CENTER,ROCKVILLE CENTRE,NY,Abbott Exclusive,2025-02-28,835,2025-02
MERITER PARK HOSP,MADISON,WI,Abbott Exclusive,2025-02-28,4503,2025-02
METHODIST FREMONT HEALTH,FREMONT,NE,MJN Exclusive,2025-02-28,315,2025-02
MOLOKAI GENERAL HOSPITAL,KAUNAKAKAI,HI,Choice,2025-02-28,37,2025-02
MOBILE INFIRMARY MEDICAL CENTER,MOBILE,AL,MJN Exclusive,2025-02-28,1107,2025-02
MO BAPT HOSP OF SULLIVAN,SULLIVAN,MO,MJN Exclusive,2025-02-28,198,2025-02
PIEDMONT ROCKDALE HOSPITAL INC,CONYERS,GA,Abbott Exclusive,2025-02-28,1773,2025-02
MISSOURI DELTA MED CTR,SIKESTON,MO,MJN Exclusive,2025-02-28,500,2025-02
MISSISSIPPI BAPTIST MEDICAL CENTER,JACKSON,MS,Abbott Exclusive,2025-02-28,1829,2025-02
